qasm_path,runtime,fidelity,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3949711322784424,0.997,2048,0,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.6202685832977295,1.0,1024,1,2,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.47971677780151367,0.996,1024,1,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.37241506576538086,1.0,128,0,3,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.3656315803527832,0.85,512,0,2,1e-1,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.5315883159637451,0.997,2048,1,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.2856969833374023,0.85,2048,0,2,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.3125150203704834,0.85,1024,0,2,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.33214592933654785,1.0,2048,0,2,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.37774085998535156,0.98,8,1,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3108048439025879,0.996,2048,0,2,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3218870162963867,0.98,2048,0,3,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.2971251010894775,0.85,2048,0,3,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.42224693298339844,1.0,2048,0,3,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.45974111557006836,1.0,256,1,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.30957746505737305,0.992,4,0,2,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.46215081214904785,1.0,16,0,2,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3330531120300293,0.996,1024,0,3,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.33350467681884766,0.989,4,0,3,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.34307360649108887,0.98,512,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3183910846710205,0.98,2048,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.3315653800964355,0.85,512,0,3,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.41709470748901367,0.996,2048,1,2,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4386255741119385,0.85,4,0,1,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.5200045108795166,0.989,4,1,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3960072994232178,0.997,128,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3677952289581299,1.0,16,0,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.446657657623291,1.0,2048,0,2,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4648103713989258,1.0,512,0,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.410783052444458,1.0,512,0,2,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3122105598449707,0.989,4,0,2,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.31173086166381836,0.98,1024,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.517693042755127,1.0,2048,0,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.47119879722595215,0.98,2048,1,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4353306293487549,1.0,1024,0,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.37077832221984863,0.996,2048,0,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,3.2075374126434326,0.85,2048,0,1,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3960106372833252,0.997,2048,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.36663818359375,0.996,1024,0,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3733227252960205,1.0,2048,0,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.40661025047302246,0.996,2048,0,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.391681432723999,0.997,1024,0,1,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.35468268394470215,0.98,2048,0,1,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.40657949447631836,0.999,512,0,1,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3041694164276123,0.996,1024,0,2,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4075193405151367,0.999,2048,0,1,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3222477436065674,0.996,64,0,3,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3094618320465088,0.989,4,0,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3596456050872803,1.0,64,0,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3067905902862549,0.98,32,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.290787696838379,0.85,512,0,2,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.31885647773742676,0.98,4,0,3,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.36572885513305664,0.996,128,0,3,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.39673614501953125,1.0,64,0,3,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.36273622512817383,0.85,4,0,3,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3963143825531006,1.0,8,0,3,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3540949821472168,0.85,4,0,2,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.305311918258667,0.98,8,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3213207721710205,0.992,4,0,3,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,1.2870266437530518,0.85,256,0,2,1e-1,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.332888126373291,1.0,512,0,2,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6439788341522217,0.988,64,1,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.1467840671539307,1.0,128,1,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.2287769317626953,0.988,64,0,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.4239938259124756,0.592,16,0,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.2397856712341309,0.988,128,0,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.972606897354126,1.0,128,1,2,1e-7,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.2844350337982178,0.988,256,0,1,1e-4,mps_probabilities
